company_name,naic_code,company_type,order_date,pdf_url
UnitedHealthcare Insurance Company,79413,L&H,8/29/2025,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/United-MHPAEA-Final-Report.pdf
"UnitedHealthcare of the Mid-Atlantic, Inc.",95025,L&H,8/29/2025,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/United-MHPAEA-Final-Report.pdf
"Optimum Choice, Inc.",96940,L&H,8/29/2025,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/United-MHPAEA-Final-Report.pdf
Allmerica Financial Benefit Insurance Company,41840,P&C,1/16/2025,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/Allmerica-Financial-Benefit-Insurance-Report.pdf
Hanover Insurance Company,22292,P&C,1/16/2025,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/Hanover-PC-Insurance-Report.pdf
Cigna Health and Life Insurance Company,67369,L&H,1/27/2025,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/CIGNA-MHPAEA-Report-01-25.pdf
Cigna Health and Life Insurance Company,67369,L&H,8/21/2024,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/cigna-health-and-life-insurance-company.pdf
"HealthKeepers, Inc.",95169,L&H,6/28/2024,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/95169.pdf
"Anthem Health Plans of Virginia, Inc",71835,L&H,6/28/2024,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/71835.pdf
Lemonade Insurance Company,16023,P&C,3/26/2024,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/Lemonade-Insurance-Companu.pdf
Spinnaker Insurance Company,24376,P&C,12/19/2023,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/Spinnaker-Insurance-Company.pdf
Aetna Life Insurance Company,60054,L&H,7/11/2023,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/AETNA-LIFE-INSURANCE-COMPANY.pdf
Root Insurance Company,10974,P&C,4/28/2023,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/Root-Insurance-Company.pdf
Farmers Insurance Exchange,21652,P&C,6/8/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/FARMERS-INSURANCE-EXCHANGE.pdf
Mid-Century Insurance Company,21687,P&C,6/8/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/21652-2022.pdf
Truck Insurance Company,21709,P&C,6/8/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/21652-2022.pdf
Selective Insurance Company of America,12572,P&C,3/22/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/12572.pdf
Selective Insurance Company of South Carolina,19259,P&C,03/22/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/19259.pdf
Selective Way Insurance Company,26301,P&C,3/22/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/26301.pdf
Garrison Property & Casualty Insurance Company,21253,P&C,3/03/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/21253.pdf
United Services Automobile Association,25941,P&C,3/03/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/25941.pdf
USAA Casualty Insurance Company,25968,P&C,3/03/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/25968.pdf
USAA General Indemnity Insurance Company,18600,P&C,3/03/2022,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/18600.pdf
Privilege Underwriters Reciprocal Exchange (PURE),12873,P&C,11/16/2021,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/12873.pdf
Loudoun Mutual Insurance Company,10329,P&C,10/14/2021,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/10329.pdf
